[2017.11.25 23:42:03] [0091m.18s.613ms] [0] WELCOME
[2017.11.25 23:42:03] [0091m.18s.652ms] [1] iCDB Client ver.1.093, 4eaDVz8EvVKuZCsHMzatSQ, build:488395 created 2012-01-27 13:24:08, sources stamp:4eaDVz8EvVKuZCsHMzatSQ
[2017.11.25 23:42:03] [0091m.18s.652ms] [1] Copyright 2012 Mentor Graphics Corporation. All Rights Reserved.
[2017.11.25 23:42:03] [0091m.18s.652ms] [1] Base flow version [7.9.3]
[2017.11.25 23:42:03] [0091m.18s.652ms] [1] GBS Install Id [24044], Flow Id [PADS 9.4.1], Full Flow Name [PADS 9.4.1], Exact Access Date [Nov 1 2011]
[2017.11.25 23:42:03] [0091m.18s.652ms] [1] Machine [DESKTOP-APFMU2M]  User [klutc]  PID [8792]
[2017.11.25 23:42:03] [0091m.18s.652ms] [1] Operating system [Microsoft Home Premium Edition, 64-bit (build 9200)]
[2017.11.25 23:42:03] [0091m.18s.652ms] [1] Current working dir [C:\EyeProject\Eye]
[2017.11.25 23:42:03] [0091m.18s.653ms] [1] PATH [C:\MentorGraphics\9.4PADS\SDD_HOME\wv\win32\bin;C:\Program Files\Docker\Docker\Resources\bin;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\ProgramData\Oracle\Java\javapath;C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\bin;C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\lib;C:\MentorGraphics\9.4PADS\MGC_HOME.ixn\bin;C:\MentorGraphics\9.4PADS\MGC_HOME.ixn\lib;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\Program Files (x86)\Skype\Phone\;C:\Program Files\Git\cmd;C:\Program Files (x86)\Mercurial;C:\Program Files\Cinterion\Module Exchange Suite\;C:\Program Files (x86)\Java\jdk1.7.0_25\bin;c:\Program Files (x86)\Microsoft SQL Server\110\Tools\Binn\;c:\Program Files\Microsoft SQL Server\110\Tools\Binn\;c:\Program Files\Microsoft SQL Server\110\DTS\Binn\;C:\Program Files (x86)\Windows Kits\8.1\Windows Performance Toolkit\;C:\Users\klutc\AppData\Local\Programs\Python\Python36-32\Scripts\;C:\Users\klutc\AppData\Local\Programs\Python\Python36-32\;C:\Program Files (x86)\GNU Tools ARM Embedded\6 2017-q2-update\bin;C:\Users\klutc\AppData\Local\Microsoft\WindowsApps;C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\lib;C:\MentorGraphics\9.4PADS\SDD_HOME\CAMCAD;C:\Program Files (x86)\proXPN\bin;C:\Users\klutc\AppData\Local\atom\bin;%USERPROFILE%\AppData\Local\Microsoft\WindowsApps;]
[2017.11.25 23:42:03] [0091m.18s.653ms] [1] SDD_HOME [C:\MentorGraphics\9.4PADS\SDD_HOME] on file system [NTFS]
[2017.11.25 23:42:03] [0091m.18s.653ms] [1] SDD_PLATFORM [win32]
[2017.11.25 23:42:03] [0091m.18s.653ms] [1] WDIR [C:\PADS Projects;C:\MentorGraphics\9.4PADS\SDD_HOME\standard]
[2017.11.25 23:42:03] [0091m.18s.653ms] [1] Local iCDB working dir [C:\PADS Projects\iCDB] on file system [NTFS]
[2017.11.25 23:42:03] [0091m.18s.653ms] [3] AMP: CREATE
[2017.11.25 23:42:03] [0091m.18s.653ms] [2] NE: CREATE
[2017.11.25 23:42:03] [0091m.18s.653ms] [1] IC: Project GUID [06ab-0492-8525-d619-24dc-61a7-4dc6-1a50-37c2-604e-fc25-676e]
[2017.11.25 23:42:03] [0091m.18s.653ms] [1] IC: Project path [C:\EyeProject\Eye\database] on file system [NTFS]
[2017.11.25 23:42:03] [0091m.18s.653ms] [1] IC: Working in FULL access mode
[2017.11.25 23:42:03] [0091m.18s.653ms] [2] AMP: START
[2017.11.25 23:42:03] [0091m.18s.666ms] [1] ServerProperties: Reading server properties for project [C:\EyeProject\Eye\database]
[2017.11.25 23:42:03] [0091m.18s.666ms] [0] ServerProperties: Host [DESKTOP-APFMU2M]  IP [127.0.0.1]  Port [10000]  GUID [355c-afed-55c8-7de4-4e54-a1a9-e54a-1a50-f2d2-80ea-fc25-676e]  for project [C:\EyeProject\Eye\database] with GUID [06ab-0492-8525-d619-24dc-61a7-4dc6-1a50-37c2-604e-fc25-676e]
[2017.11.25 23:42:03] [0091m.18s.666ms] [1] Network: DNS query IP [127.0.0.1]
[2017.11.25 23:42:03] [0091m.18s.676ms] [1] Connecting to iCDB Server:  Host [DESKTOP-APFMU2M] IP [127.0.0.1]  Port [10000]
[2017.11.25 23:42:03] [0091m.18s.676ms] [1] Network: DNS query IP [127.0.0.1]
[2017.11.25 23:42:03] [0091m.18s.676ms] [1] Connected to iCDB Server [127.0.0.1]
[2017.11.25 23:42:04] [0091m.19s.031ms] [1] Session [12891] opened
[2017.11.25 23:42:04] [0091m.19s.031ms] [1] Working mode: Online
[2017.11.25 23:42:04] [0091m.19s.047ms] [1] C: Registered sub-client: [DxD] with ID: [1]
[2017.11.25 23:42:04] [0091m.19s.047ms] [1] INFO: Exclusive read locks disabled
[2017.11.25 23:42:04] [0091m.19s.226ms] [1] C: Registered sub-client: [TransactionRollbackSubClient] with ID: [2]
[2017.11.25 23:42:04] [0091m.19s.227ms] [1] C: Registered sub-client: [xprob] with ID: [3]
[2017.11.25 23:42:05] [0091m.20s.777ms] [1] C: Registered sub-client: [SelectionHolder] with ID: [4]
[2017.11.25 23:42:06] [0091m.21s.117ms] [1] C: Registered sub-client: [HdlProject] with ID: [5]
[2017.11.25 23:42:06] [0091m.21s.256ms] [1] C: Registered sub-client: [Navigator] with ID: [6]
[2017.11.25 23:42:06] [0091m.21s.434ms] [1] C: Registered sub-client: [OutputWindow] with ID: [7]
[2017.11.25 23:42:06] [0091m.21s.435ms] [1] C: Registered sub-client: [PlaceDevice] with ID: [8]
[2017.11.25 23:42:06] [0091m.21s.483ms] [1] C: Registered sub-client: [SAE] with ID: [9]
[2017.11.25 23:42:06] [0091m.21s.500ms] [1] C: Registered sub-client: [DxConstraints] with ID: [10]
[2017.11.25 23:42:06] [0091m.21s.500ms] [1] C: Registered sub-client: [CCZAddin] with ID: [11]
[2017.11.25 23:42:06] [0091m.21s.502ms] [1] C: Registered sub-client: [DxThumbnails] with ID: [12]
[2017.11.25 23:42:06] [0091m.21s.503ms] [1] C: Registered sub-client: [DxSim] with ID: [13]
[2017.11.25 23:42:06] [0091m.21s.673ms] [0] CE: ERROR: Executing notify command on iCDB: [Notify # ServerCommandID[74] # NetSubClientFullData[ClientData[ClientNetAddress[DESKTOP-APFMU2M] # ClientUserName[klutc] # ClientProcessID[7936] # SessionID[12890]] # SubClientData[SubClientName[DxD] # SubClientID[1]]] @ SetWatermark # CDBSnapshotID[0] WatermarkId[1491] Watermark[]]
[2017.11.25 23:42:06] [0091m.21s.761ms] [1] C: Registered sub-client: [SheetConnectorsCacheDxD:1511671326] with ID: [14]
[2017.11.25 23:42:06] [0091m.21s.843ms] [1] C: Registered sub-client: [NetsNamesCollectorDxD:1511671326] with ID: [15]
[2017.11.25 23:42:06] [0091m.21s.860ms] [1] C: Registered sub-client: [DxDbSearch] with ID: [16]
[2017.11.25 23:42:06] [0091m.21s.946ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [17]
[2017.11.25 23:42:06] [0091m.21s.947ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [17]
[2017.11.25 23:42:07] [0091m.22s.704ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [18]
[2017.11.25 23:42:07] [0091m.22s.710ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [18]
[2017.11.25 23:42:08] [0091m.23s.700ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [19]
