[2017.10.21 22:44:48] [0001m.11s.317ms] [0] WELCOME
[2017.10.21 22:44:48] [0001m.11s.317ms] [1] iCDB Client ver.1.093, 4eaDVz8EvVKuZCsHMzatSQ, build:488395 created 2012-01-27 13:24:08, sources stamp:4eaDVz8EvVKuZCsHMzatSQ
[2017.10.21 22:44:48] [0001m.11s.317ms] [1] Copyright 2012 Mentor Graphics Corporation. All Rights Reserved.
[2017.10.21 22:44:48] [0001m.11s.317ms] [1] Base flow version [7.9.3]
[2017.10.21 22:44:48] [0001m.11s.317ms] [1] GBS Install Id [24044], Flow Id [PADS 9.4.1], Full Flow Name [PADS 9.4.1], Exact Access Date [Nov 1 2011]
[2017.10.21 22:44:48] [0001m.11s.317ms] [1] Machine [DESKTOP-APFMU2M]  User [klutc]  PID [4712]
[2017.10.21 22:44:48] [0001m.11s.321ms] [1] Operating system [Microsoft Home Premium Edition, 64-bit (build 9200)]
[2017.10.21 22:44:48] [0001m.11s.321ms] [1] Current working dir [C:\EyeProject\Eye]
[2017.10.21 22:44:48] [0001m.11s.321ms] [1] PATH [C:\MentorGraphics\9.4PADS\SDD_HOME\wv\win32\bin;C:\ProgramData\Oracle\Java\javapath;C:\Python27\;C:\Python27\Scripts;C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\bin;C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\lib;C:\MentorGraphics\9.4PADS\MGC_HOME.ixn\bin;C:\MentorGraphics\9.4PADS\MGC_HOME.ixn\lib;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files (x86)\Skype\Phone\;C:\Program Files\Git\cmd;C:\Program Files (x86)\Mercurial;C:\Program Files\Cinterion\Module Exchange Suite\;C:\Program Files (x86)\Java\jdk1.7.0_25\bin;C:\Program Files (x86)\GNU Tools ARM Embedded\6 2017-q2-update\bin;C:\Users\klutc\AppData\Local\Microsoft\WindowsApps;C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\lib;C:\MentorGraphics\9.4PADS\SDD_HOME\CAMCAD;C:\Program Files (x86)\proXPN\bin]
[2017.10.21 22:44:48] [0001m.11s.321ms] [1] SDD_HOME [C:\MentorGraphics\9.4PADS\SDD_HOME] on file system [NTFS]
[2017.10.21 22:44:48] [0001m.11s.321ms] [1] SDD_PLATFORM [win32]
[2017.10.21 22:44:48] [0001m.11s.321ms] [1] WDIR [C:\PADS Projects;C:\MentorGraphics\9.4PADS\SDD_HOME\standard]
[2017.10.21 22:44:48] [0001m.11s.321ms] [1] Local iCDB working dir [C:\PADS Projects\iCDB] on file system [NTFS]
[2017.10.21 22:44:48] [0001m.11s.321ms] [3] AMP: CREATE
[2017.10.21 22:44:48] [0001m.11s.321ms] [2] NE: CREATE
[2017.10.21 22:44:48] [0001m.11s.321ms] [1] IC: Project GUID [702c-02e7-da93-aba8-d98b-7e92-a8b7-e950-bd7b-4988-27c1-e38b]
[2017.10.21 22:44:48] [0001m.11s.321ms] [1] IC: Project path [C:\EyeProject\Eye\database] on file system [NTFS]
[2017.10.21 22:44:48] [0001m.11s.321ms] [1] IC: Working in FULL access mode
[2017.10.21 22:44:48] [0001m.11s.321ms] [2] AMP: START
[2017.10.21 22:44:48] [0001m.11s.329ms] [0] ServerToolkit: Running server: command [C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\bin\iCDBNetServer.exe] with parameters [C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\bin\iCDBNetServer.exe -db "C:\EyeProject\Eye\database" -prj "C:\EyeProject\Eye\Eye.prj" -dbid "702c-02e7-da93-aba8-d98b-7e92-a8b7-e950-bd7b-4988-27c1-e38b" -autoclose -client "DESKTOP-APFMU2M:klutc:4712" 
[2017.10.21 22:44:48] [0001m.11s.329ms] [0] ServerToolkit: Server command executed
[2017.10.21 22:44:49] [0001m.11s.413ms] [0] ServerToolkit: Server for project [C:\EyeProject\Eye\database] is running
[2017.10.21 22:44:49] [0001m.11s.413ms] [1] ServerProperties: Reading server properties for project [C:\EyeProject\Eye\database]
[2017.10.21 22:44:49] [0001m.11s.413ms] [0] ServerProperties: Host [DESKTOP-APFMU2M]  IP [127.0.0.1]  Port [10000]  GUID [c05f-d5c0-9a11-447d-0260-ce95-260c-e950-dcb9-66f3-1098-ea41]  for project [C:\EyeProject\Eye\database] with GUID [702c-02e7-da93-aba8-d98b-7e92-a8b7-e950-bd7b-4988-27c1-e38b]
[2017.10.21 22:44:49] [0001m.11s.413ms] [1] Connecting to iCDB Server:  Host [DESKTOP-APFMU2M] IP [127.0.0.1]  Port [10000]
[2017.10.21 22:44:49] [0001m.11s.413ms] [1] Network: DNS query IP [127.0.0.1]
[2017.10.21 22:44:49] [0001m.11s.413ms] [1] Connected to iCDB Server [127.0.0.1]
[2017.10.21 22:45:17] [0001m.39s.848ms] [1] Session [11730] opened
[2017.10.21 22:45:17] [0001m.39s.852ms] [1] Working mode: Online
[2017.10.21 22:45:17] [0001m.39s.852ms] [1] C: Registered sub-client: [DxD] with ID: [1]
[2017.10.21 22:45:17] [0001m.39s.860ms] [1] INFO: Exclusive read locks disabled
[2017.10.21 22:45:17] [0001m.40s.168ms] [1] C: Registered sub-client: [TransactionRollbackSubClient] with ID: [2]
[2017.10.21 22:45:17] [0001m.40s.168ms] [1] C: Registered sub-client: [xprob] with ID: [3]
[2017.10.21 22:45:19] [0001m.41s.694ms] [1] C: Registered sub-client: [SelectionHolder] with ID: [4]
[2017.10.21 22:45:19] [0001m.42s.079ms] [1] C: Registered sub-client: [HdlProject] with ID: [5]
[2017.10.21 22:45:19] [0001m.42s.159ms] [1] C: Registered sub-client: [Navigator] with ID: [6]
[2017.10.21 22:45:19] [0001m.42s.291ms] [1] C: Registered sub-client: [OutputWindow] with ID: [7]
[2017.10.21 22:45:19] [0001m.42s.291ms] [1] C: Registered sub-client: [PlaceDevice] with ID: [8]
[2017.10.21 22:45:19] [0001m.42s.327ms] [1] C: Registered sub-client: [SAE] with ID: [9]
[2017.10.21 22:45:19] [0001m.42s.339ms] [1] C: Registered sub-client: [DxConstraints] with ID: [10]
[2017.10.21 22:45:19] [0001m.42s.339ms] [1] C: Registered sub-client: [CCZAddin] with ID: [11]
[2017.10.21 22:45:19] [0001m.42s.339ms] [1] C: Registered sub-client: [DxThumbnails] with ID: [12]
[2017.10.21 22:45:19] [0001m.42s.339ms] [1] C: Registered sub-client: [DxSim] with ID: [13]
[2017.10.21 22:45:20] [0001m.42s.399ms] [1] C: Registered sub-client: [SheetConnectorsCacheDxD:1508640320] with ID: [14]
[2017.10.21 22:45:20] [0001m.42s.467ms] [1] C: Registered sub-client: [NetsNamesCollectorDxD:1508640320] with ID: [15]
[2017.10.21 22:45:20] [0001m.42s.475ms] [1] C: Registered sub-client: [DxDbSearch] with ID: [16]
[2017.10.21 22:45:20] [0001m.42s.595ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [17]
[2017.10.21 22:45:20] [0001m.42s.595ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [17]
[2017.10.21 22:45:20] [0001m.42s.595ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [18]
[2017.10.21 22:45:20] [0001m.42s.599ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [18]
[2017.10.21 22:45:21] [0001m.43s.597ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [19]
[2017.10.21 22:45:21] [0001m.43s.601ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [19]
[2017.10.21 22:45:22] [0001m.44s.594ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [20]
[2017.10.21 22:45:22] [0001m.44s.598ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [20]
